25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
140,25,112,0,100,250
255,130,112,0,130,250
255,155,112,0,150,250
255,177,115,0,170,250
255,200,135,0,190,250
255,219,170,0,210,250
255,234,205,0,217,250
255,249,240,0,223,250
255,249,250,0,227,250
239,245,255,0,234,250
224,240,255,0,239,250
215,235,255,0,244,250
212,234,255,0,248,250
210,233,255,0,250,250
208,232,255,0,252,250
207,231,255,0,255,250
205,230,255,0,252,250
204,229,255,0,250,250
204,229,255,0,247,250
206,230,255,0,245,250
208,231,255,0,243,250
213,232,255,0,240,250
219,234,255,0,237,250
229,239,255,0,235,250
236,246,255,0,233,250
255,252,251,0,230,250
255,243,236,0,225,250
255,225,202,0,220,250
255,203,174,0,205,250
255,178,129,0,190,250
255,146,85,0,165,250
255,93,38,0,140,250
140,55,70,0,120,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
