0,0,10,2,255,250
0,0,5,2,255,250
0,0,10,2,255,250
0,0,5,2,255,250
0,0,10,2,255,250
0,0,5,2,255,250
0,0,10,2,255,250
0,0,15,3,255,250
0,0,16,8,255,250
0,0,17,9,255,250
8,2,18,10,255,250
12,4,19,11,255,250
50,20,70,12,255,250
80,30,120,13,255,250
140,110,180,40,255,250
175,150,200,80,255,250
255,236,224,150,255,250
255,236,224,160,255,250
255,235,220,200,255,250
255,235,220,210,255,250
255,232,213,220,255,250
255,232,213,230,255,250
255,230,210,255,255,250
255,230,210,255,255,250
255,232,212,255,255,250
255,232,212,255,255,250
255,232,212,200,255,250
255,232,212,255,255,250
255,232,212,190,255,250
255,232,212,255,255,250
255,232,212,220,255,250
255,232,212,200,255,250
255,228,200,190,255,250
255,228,200,255,255,250
255,220,180,170,255,250
255,220,170,160,255,250
255,190,110,110,255,250
255,170,100,100,255,250
255,160,20,70,255,250
255,130,10,50,255,250
190,15,5,40,255,250
15,12,4,30,255,250
10,5,3,20,255,250
5,3,2,10,255,250
1,1,10,5,255,250
0,0,5,2,255,250
0,0,10,5,255,250
0,0,5,2,255,250
