25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
62,25,95,0,100,250
102,60,78,0,100,250
140,78,61,0,115,250
178,95,44,0,130,250
214,113,27,0,150,250
255,130,10,0,170,250
255,139,22,0,190,250
255,147,34,0,210,250
255,155,46,0,215,250
255,163,58,0,220,250
255,172,70,0,225,250
255,180,82,0,230,250
255,189,93,0,235,250
255,197,105,0,240,250
255,205,117,0,245,250
255,213,129,0,250,250
255,222,141,0,252,250
255,230,153,0,255,250
255,222,143,0,252,250
255,214,133,0,250,250
255,206,124,0,247,250
255,198,114,0,245,250
255,191,104,0,242,250
255,183,94,0,240,250
255,175,84,0,237,250
255,167,74,0,235,250
255,159,64,0,233,250
255,151,55,0,230,250
255,143,45,0,225,250
255,135,35,0,220,250
214,116,45,0,205,250
178,98,61,0,190,250
140,80,74,0,165,250
102,62,86,0,140,250
63,44,99,0,120,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
25,25,112,0,100,250
